0:00:00.000000,0.0234375,-0.0234375,0.6796875
0:00:06.843000,0.0234375,-0.015625,0.671875
0:00:06.863000,0.0234375,-0.0078125,0.6640625
0:00:06.883000,0.03125,-0.015625,0.671875
0:00:06.903000,0.0234375,-0.015625,0.6640625
0:00:06.923000,0.015625,-0.015625,0.6640625
0:00:06.943000,0.0234375,-0.015625,0.671875
0:00:06.963000,0.0234375,-0.015625,0.671875
0:00:06.983000,0.0234375,-0.0234375,0.671875
0:00:07.003000,0.015625,-0.015625,0.6640625
0:00:07.006000,0.0234375,-0.015625,0.6640625
0:00:07.026000,0.015625,-0.015625,0.671875
0:00:07.046000,0.0234375,-0.0234375,0.671875
0:00:07.066000,0.03125,-0.0078125,0.671875
0:00:07.086000,0.015625,-0.015625,0.671875
0:00:07.106000,0.0234375,-0.015625,0.671875
0:00:07.126000,0.0234375,-0.0234375,0.6640625
0:00:07.146000,0.015625,-0.015625,0.6640625
0:00:07.166000,0.0234375,-0.0234375,0.6640625
0:00:07.186000,0.015625,-0.0234375,0.6640625
0:00:07.206000,0.015625,-0.015625,0.6640625
0:00:07.226000,0.015625,-0.0234375,0.671875
0:00:07.246000,0.015625,-0.0234375,0.6640625
0:00:07.266000,0.015625,-0.015625,0.671875
0:00:07.286000,0.015625,-0.0234375,0.671875
0:00:07.306000,0.015625,-0.0234375,0.671875
